fips,county_name,state,gini_index
13011,Banks County,GA,0.4117
13013,Barrow County,GA,0.3906
13015,Bartow County,GA,0.4124
13017,Ben Hill County,GA,0.4989
13019,Berrien County,GA,0.4604
13021,Bibb County,GA,0.5196
13023,Bleckley County,GA,0.4733
13025,Brantley County,GA,0.4538
13027,Brooks County,GA,0.5437
13029,Bryan County,GA,0.4273
13031,Bulloch County,GA,0.4823
13033,Burke County,GA,0.5189
13035,Butts County,GA,0.4057
13037,Calhoun County,GA,0.4874
13039,Camden County,GA,0.4167
13043,Candler County,GA,0.4613
13045,Carroll County,GA,0.4449
13047,Catoosa County,GA,0.4205
13049,Charlton County,GA,0.4489
13051,Chatham County,GA,0.476
13053,Chattahoochee County,GA,0.4034
13055,Chattooga County,GA,0.425
13057,Cherokee County,GA,0.4077
13059,Clarke County,GA,0.5067
13061,Clay County,GA,0.3999
13063,Clayton County,GA,0.4196
13065,Clinch County,GA,0.4605
13067,Cobb County,GA,0.4449
13069,Coffee County,GA,0.4655
13071,Colquitt County,GA,0.4848
13073,Columbia County,GA,0.4106
13075,Cook County,GA,0.4878
13077,Coweta County,GA,0.417
13079,Crawford County,GA,0.4869
13081,Crisp County,GA,0.4835
13083,Dade County,GA,0.4279
13085,Dawson County,GA,0.4122
13087,Decatur County,GA,0.4718
13089,DeKalb County,GA,0.4914
13091,Dodge County,GA,0.4684
13093,Dooly County,GA,0.4941
13095,Dougherty County,GA,0.4937
13097,Douglas County,GA,0.4255
13099,Early County,GA,0.4788
13101,Echols County,GA,0.4324
13103,Effingham County,GA,0.4127
13105,Elbert County,GA,0.4385
13107,Emanuel County,GA,0.4549
13109,Evans County,GA,0.445
13111,Fannin County,GA,0.4905
13113,Fayette County,GA,0.4286
13115,Floyd County,GA,0.4678
13117,Forsyth County,GA,0.3942
13119,Franklin County,GA,0.4845
13121,Fulton County,GA,0.5294
13123,Gilmer County,GA,0.4391
13125,Glascock County,GA,0.444
13127,Glynn County,GA,0.4954
13129,Gordon County,GA,0.4504
13131,Grady County,GA,0.4646
13133,Greene County,GA,0.5561
13135,Gwinnett County,GA,0.4352
13137,Habersham County,GA,0.4582
13139,Hall County,GA,0.4529
13141,Hancock County,GA,0.5013
13143,Haralson County,GA,0.4302
13145,Harris County,GA,0.4142
13147,Hart County,GA,0.4443
13149,Heard County,GA,0.4779
13151,Henry County,GA,0.3821
13153,Houston County,GA,0.415
13155,Irwin County,GA,0.4335
13157,Jackson County,GA,0.4099
13159,Jasper County,GA,0.4608
13161,Jeff Davis County,GA,0.4567
13163,Jefferson County,GA,0.4615
13165,Jenkins County,GA,0.4805
13167,Johnson County,GA,0.4413
13169,Jones County,GA,0.4469
13171,Lamar County,GA,0.4236
13173,Lanier County,GA,0.4951
13175,Laurens County,GA,0.5225
13177,Lee County,GA,0.3661
13179,Liberty County,GA,0.4084
13181,Lincoln County,GA,0.4436
13183,Long County,GA,0.4113
13185,Lowndes County,GA,0.4862
13187,Lumpkin County,GA,0.5022
13189,McDuffie County,GA,0.453
13191,McIntosh County,GA,0.4468
13193,Macon County,GA,0.6041
13195,Madison County,GA,0.4429
13197,Marion County,GA,0.4224
13199,Meriwether County,GA,0.4411
13201,Miller County,GA,0.4949
13205,Mitchell County,GA,0.4896
13207,Monroe County,GA,0.4763
13209,Montgomery County,GA,0.5085
13211,Morgan County,GA,0.4195
13213,Murray County,GA,0.4313
13215,Muscogee County,GA,0.4843
13217,Newton County,GA,0.4096
13219,Oconee County,GA,0.4582
13221,Oglethorpe County,GA,0.4253
13223,Paulding County,GA,0.3545
13225,Peach County,GA,0.4724
13227,Pickens County,GA,0.4409
13229,Pierce County,GA,0.4369
13231,Pike County,GA,0.4169
13233,Polk County,GA,0.4478
13235,Pulaski County,GA,0.4511
13237,Putnam County,GA,0.5092
13239,Quitman County,GA,0.4749
13241,Rabun County,GA,0.4946
13243,Randolph County,GA,0.4586
13245,Richmond County,GA,0.4853
13247,Rockdale County,GA,0.4222
13249,Schley County,GA,0.4632
13251,Screven County,GA,0.4836
13253,Seminole County,GA,0.5508
13255,Spalding County,GA,0.5539
13257,Stephens County,GA,0.4297
13259,Stewart County,GA,0.4323
13261,Sumter County,GA,0.4922
13263,Talbot County,GA,0.4832
13265,Taliaferro County,GA,0.3812
13267,Tattnall County,GA,0.4537
13269,Taylor County,GA,0.5204
13271,Telfair County,GA,0.5026
13273,Terrell County,GA,0.4612
13275,Thomas County,GA,0.4713
13277,Tift County,GA,0.4646
13279,Toombs County,GA,0.5054
13281,Towns County,GA,0.4784
13283,Treutlen County,GA,0.5132
13285,Troup County,GA,0.4904
13287,Turner County,GA,0.4391
13289,Twiggs County,GA,0.5425
13291,Union County,GA,0.4801
13293,Upson County,GA,0.4942
13295,Walker County,GA,0.4512
13297,Walton County,GA,0.4215
13299,Ware County,GA,0.4738
13301,Warren County,GA,0.456
13303,Washington County,GA,0.4484
13305,Wayne County,GA,0.4559
13307,Webster County,GA,0.4737
13309,Wheeler County,GA,0.469
13311,White County,GA,0.43
13313,Whitfield County,GA,0.4432
13315,Wilcox County,GA,0.458
13317,Wilkes County,GA,0.4663
13319,Wilkinson County,GA,0.493
13321,Worth County,GA,0.4477
15001,Hawaii County,HI,0.4772
15003,Honolulu County,HI,0.4386
15005,Kalawao County,HI,0.2744
15007,Kauai County,HI,0.4405
15009,Maui County,HI,0.4439
16001,Ada County,ID,0.4497
16003,Adams County,ID,0.499
16005,Bannock County,ID,0.4315
16007,Bear Lake County,ID,0.4146
16009,Benewah County,ID,0.4377
16011,Bingham County,ID,0.4293
16013,Blaine County,ID,0.4649
16015,Boise County,ID,0.3784
16017,Bonner County,ID,0.4542
16019,Bonneville County,ID,0.4343
16021,Boundary County,ID,0.409
16023,Butte County,ID,0.4724
16025,Camas County,ID,0.4481
16027,Canyon County,ID,0.3902
16029,Caribou County,ID,0.3968
16031,Cassia County,ID,0.4475
16033,Clark County,ID,0.3311
16035,Clearwater County,ID,0.4225
16037,Custer County,ID,0.3927
16039,Elmore County,ID,0.4177
16041,Franklin County,ID,0.4098
16043,Fremont County,ID,0.3756
16045,Gem County,ID,0.432
16047,Gooding County,ID,0.4497
16049,Idaho County,ID,0.4304
16051,Jefferson County,ID,0.3813
16053,Jerome County,ID,0.4269
16055,Kootenai County,ID,0.4291
16057,Latah County,ID,0.4559
16059,Lemhi County,ID,0.4953
16061,Lewis County,ID,0.4432
16063,Lincoln County,ID,0.3949
16065,Madison County,ID,0.5181
16067,Minidoka County,ID,0.4318
16069,Nez Perce County,ID,0.458
16071,Oneida County,ID,0.4062
16073,Owyhee County,ID,0.3929
16075,Payette County,ID,0.4188
16077,Power County,ID,0.3717
16079,Shoshone County,ID,0.4229
16081,Teton County,ID,0.4153
16083,Twin Falls County,ID,0.451
16085,Valley County,ID,0.4652
16087,Washington County,ID,0.4463
17001,Adams County,IL,0.4368
17003,Alexander County,IL,0.4506
17005,Bond County,IL,0.4306
17007,Boone County,IL,0.4239
17009,Brown County,IL,0.407
17011,Bureau County,IL,0.429
17013,Calhoun County,IL,0.4094
17015,Carroll County,IL,0.4152
17017,Cass County,IL,0.4039
17019,Champaign County,IL,0.4977
17021,Christian County,IL,0.4327
17023,Clark County,IL,0.3952
17025,Clay County,IL,0.451
17027,Clinton County,IL,0.4297
17029,Coles County,IL,0.4747
17031,Cook County,IL,0.5048
17033,Crawford County,IL,0.4395
17035,Cumberland County,IL,0.3995
17037,DeKalb County,IL,0.4424
17039,De Witt County,IL,0.4242
17041,Douglas County,IL,0.4094
17043,DuPage County,IL,0.4579
17045,Edgar County,IL,0.4127
17047,Edwards County,IL,0.4102
17049,Effingham County,IL,0.4362
17051,Fayette County,IL,0.4547
17053,Ford County,IL,0.4348
17055,Franklin County,IL,0.4484
17057,Fulton County,IL,0.4439
17059,Gallatin County,IL,0.5613
17061,Greene County,IL,0.4432
17063,Grundy County,IL,0.3955
17065,Hamilton County,IL,0.4013
17067,Hancock County,IL,0.451
17069,Hardin County,IL,0.467
17071,Henderson County,IL,0.3937
17073,Henry County,IL,0.4357
17075,Iroquois County,IL,0.4316
17077,Jackson County,IL,0.5144
17079,Jasper County,IL,0.3963
17081,Jefferson County,IL,0.4344
17083,Jersey County,IL,0.4376
17085,Jo Daviess County,IL,0.4168
17087,Johnson County,IL,0.4256
17089,Kane County,IL,0.439
17091,Kankakee County,IL,0.437
17093,Kendall County,IL,0.3478
17095,Knox County,IL,0.462
17097,Lake County,IL,0.4791
17099,LaSalle County,IL,0.4349
17101,Lawrence County,IL,0.4602
17103,Lee County,IL,0.4382
17105,Livingston County,IL,0.4162
17107,Logan County,IL,0.4405
17109,McDonough County,IL,0.4881
17111,McHenry County,IL,0.4107
17113,McLean County,IL,0.4802
17115,Macon County,IL,0.4661
17117,Macoupin County,IL,0.4279
17119,Madison County,IL,0.4443
17121,Marion County,IL,0.4308
17123,Marshall County,IL,0.4232
17125,Mason County,IL,0.438
17127,Massac County,IL,0.4041
17129,Menard County,IL,0.399
17131,Mercer County,IL,0.4106
17133,Monroe County,IL,0.3992
17135,Montgomery County,IL,0.4471
17137,Morgan County,IL,0.4446
17139,Moultrie County,IL,0.4206
17141,Ogle County,IL,0.4038
17143,Peoria County,IL,0.4919
17145,Perry County,IL,0.4145
17147,Piatt County,IL,0.4171
17149,Pike County,IL,0.4275
17151,Pope County,IL,0.4413
17153,Pulaski County,IL,0.4571
17155,Putnam County,IL,0.38
17157,Randolph County,IL,0.4034
17159,Richland County,IL,0.4033
17161,Rock Island County,IL,0.4319
17163,St. Clair County,IL,0.4503
17165,Saline County,IL,0.5105
17167,Sangamon County,IL,0.4595
17169,Schuyler County,IL,0.4144
17171,Scott County,IL,0.3986
17173,Shelby County,IL,0.3862
17175,Stark County,IL,0.4486
17177,Stephenson County,IL,0.4362
17179,Tazewell County,IL,0.4171
17181,Union County,IL,0.452
17183,Vermilion County,IL,0.4348
17185,Wabash County,IL,0.4553
17187,Warren County,IL,0.4184
17189,Washington County,IL,0.4044
17191,Wayne County,IL,0.4219
17193,White County,IL,0.4432
17195,Whiteside County,IL,0.4441
17197,Will County,IL,0.4099
17199,Williamson County,IL,0.452
17201,Winnebago County,IL,0.4517
17203,Woodford County,IL,0.4271
18001,Adams County,IN,0.3883
18003,Allen County,IN,0.4482
18005,Bartholomew County,IN,0.4378
18007,Benton County,IN,0.4243
18009,Blackford County,IN,0.4841
18011,Boone County,IN,0.4783
18013,Brown County,IN,0.4422
18015,Carroll County,IN,0.4231
18017,Cass County,IN,0.3994
18019,Clark County,IN,0.4121
18021,Clay County,IN,0.4257
18023,Clinton County,IN,0.3823
18025,Crawford County,IN,0.4912
18027,Daviess County,IN,0.4162
18029,Dearborn County,IN,0.3999
18031,Decatur County,IN,0.4167
18033,DeKalb County,IN,0.405
18035,Delaware County,IN,0.4475
18037,Dubois County,IN,0.407
18039,Elkhart County,IN,0.4423
18041,Fayette County,IN,0.4118
18043,Floyd County,IN,0.4346
18045,Fountain County,IN,0.4129
18047,Franklin County,IN,0.4071
18049,Fulton County,IN,0.4401
18051,Gibson County,IN,0.3966
18053,Grant County,IN,0.4322
18055,Greene County,IN,0.4437
18057,Hamilton County,IN,0.439
18059,Hancock County,IN,0.394
18061,Harrison County,IN,0.41
18063,Hendricks County,IN,0.3942
18065,Henry County,IN,0.4266
18067,Howard County,IN,0.4232
18069,Huntington County,IN,0.4059
18071,Jackson County,IN,0.4153
18073,Jasper County,IN,0.4062
18075,Jay County,IN,0.4367
18077,Jefferson County,IN,0.4372
18079,Jennings County,IN,0.3935
18081,Johnson County,IN,0.4256
18083,Knox County,IN,0.4544
18085,Kosciusko County,IN,0.4134
18087,LaGrange County,IN,0.4072
18089,Lake County,IN,0.4527
18091,LaPorte County,IN,0.4324
18093,Lawrence County,IN,0.4099
18095,Madison County,IN,0.4367
18097,Marion County,IN,0.4745
18099,Marshall County,IN,0.4265
18101,Martin County,IN,0.4135
18103,Miami County,IN,0.4178
18105,Monroe County,IN,0.4828
18107,Montgomery County,IN,0.4266
18109,Morgan County,IN,0.419
18111,Newton County,IN,0.3945
18113,Noble County,IN,0.3826
18115,Ohio County,IN,0.417
18117,Orange County,IN,0.446
18119,Owen County,IN,0.4386
18121,Parke County,IN,0.4307
18123,Perry County,IN,0.4053
18125,Pike County,IN,0.3944
18127,Porter County,IN,0.4276
18129,Posey County,IN,0.3976
18131,Pulaski County,IN,0.4256
18133,Putnam County,IN,0.3807
18135,Randolph County,IN,0.4211
18137,Ripley County,IN,0.4408
18139,Rush County,IN,0.3788
18141,St. Joseph County,IN,0.4718
18143,Scott County,IN,0.4192
18145,Shelby County,IN,0.4273
18147,Spencer County,IN,0.4166
18149,Starke County,IN,0.4304
18151,Steuben County,IN,0.4273
18153,Sullivan County,IN,0.4105
18155,Switzerland County,IN,0.3801
18157,Tippecanoe County,IN,0.4776
18159,Tipton County,IN,0.3712
18161,Union County,IN,0.3795
18163,Vanderburgh County,IN,0.4504
18165,Vermillion County,IN,0.4119
18167,Vigo County,IN,0.4743
18169,Wabash County,IN,0.4054
18171,Warren County,IN,0.4404
18173,Warrick County,IN,0.4621
18175,Washington County,IN,0.4087
18177,Wayne County,IN,0.4477
18179,Wells County,IN,0.3911
18181,White County,IN,0.3964
18183,Whitley County,IN,0.3995
19001,Adair County,IA,0.4342
19003,Adams County,IA,0.4948
19005,Allamakee County,IA,0.42
19007,Appanoose County,IA,0.4426
19009,Audubon County,IA,0.4189
19011,Benton County,IA,0.389
19013,Black Hawk County,IA,0.4644
19015,Boone County,IA,0.4046
19017,Bremer County,IA,0.4116
19019,Buchanan County,IA,0.404
19021,Buena Vista County,IA,0.4165
19023,Butler County,IA,0.4066
19025,Calhoun County,IA,0.4499
19027,Carroll County,IA,0.4197
19029,Cass County,IA,0.4694
19031,Cedar County,IA,0.3806
19033,Cerro Gordo County,IA,0.4515
19035,Cherokee County,IA,0.4244
